periodo,año,trimestre,sector_codigo,sector_nombre,A_notional_nominal_total,A_notional_real_total
2021T3,2021,3,S123,FMM,26949.602885818,1.1785843786900023
2021T4,2021,4,S123,FMM,25513.379166424,1.1322422333508249
2022T1,2022,1,S123,FMM,24037.263450088,1.0857177813622494
2022T2,2022,2,S123,FMM,25854.735308994997,1.1406481527186774
2022T3,2022,3,S123,FMM,26259.541317321,1.1524644668810262
2022T4,2022,4,S123,FMM,25407.680045255,1.1282025046097937
2023T1,2023,1,S123,FMM,26570.126706249997,1.1608780064159534
2023T2,2023,2,S123,FMM,28613.46898351,1.2174967849979668
2023T3,2023,3,S123,FMM,33139.336887897,1.3425292914807847
2023T4,2023,4,S123,FMM,34280.577603799,1.3735502365557195
2024T1,2024,1,S123,FMM,38298.658284905,1.4818732180658594
2024T2,2024,2,S123,FMM,41389.76795114,1.5641451541966496
2024T3,2024,3,S123,FMM,42387.852068804,1.5904725891779556
2024T4,2024,4,S123,FMM,42717.499367701996,1.5990534247183938
2025T1,2025,1,S123,FMM,42946.148015223,1.6049321721051062
2025T2,2025,2,S123,FMM,45614.318117472,1.6728814767578088
2025T3,2025,3,S123,FMM,42717.975093825,1.599529688864055
2003T1,2003,1,S124,FNM,1999.099926338,0.11911031759205415
2003T2,2003,2,S124,FNM,1985.5713837219037,0.11831262856767477
2003T3,2003,3,S124,FNM,2297.125315528311,0.13669769762552533
2003T4,2003,4,S124,FNM,2228.804383897453,0.13265981750549827
2004T1,2004,1,S124,FNM,2716.5088776477996,0.16165391492466968
2004T2,2004,2,S124,FNM,3303.357472929165,0.19614408946419903
2004T3,2004,3,S124,FNM,3793.6675620809674,0.2246657789484343
2004T4,2004,4,S124,FNM,3094.896721964994,0.18431416940085124
